指标,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
普通本科毕业生数(万人),386.8358,384.1839,374.368,358.594,341.3787,319.9716,303.8473,279.6229,259.0535,245.5359,225.6783,199.5944,172.6674,146.5786,119.629,92.9598,65.5763,56.7839,49.5624
考研报名人数,238,201,177,164.9,172,176,165.6,151.1,140.6,124.6,120,128.2,127.12,117.2,94.5,79.7,62.4,46,39.2
